tag_long_name,tag_short_name,fileNB,old_fileNB,re_old_fileNB
ct139-F620-17,ct139F620,NA,1,1
ct152-059-19,ct1520059,1,2,2
ct152-060-19,ct1520060,2,3,3
ct152-873-BAT-19,ct1520873,3,4,4
ct152-876-BAT-19,ct1520876,4,5,5
ct152-943-19,ct1520943,5,6,6
ct159-873-BAT2-19,ct1590873,6,7,7
ct159-875-BAT2-19,ct1590875,NA,NA,8
ct159-881-BAT2-19,ct1590881,7,8,9
ct159-943-BAT-19,ct1590943,8,9,10
ct159-F905-BAT2-19,ct159F905,9,10,11
ft22-686-18,ft0220686,10,11,12
ft22-873-18,ft0220873,11,12,13
ft22-874-18,ft0220874,12,13,14
ft22-875-18,ft0220875,13,14,15
ft22-876-18,ft0220876,14,15,16
ft22-878-18,ft0220878,15,16,17
ft22-879-18,ft0220879,16,17,18
ft22-881-18,ft0220881,17,18,19
ft22-882-18,ft0220882,18,19,20
